M154: [3, 2, 2, 3, 3, 4, 2, 3, 4, 2]
M155: [3, 1, 4, 2, 2, 3, 2, 2, 2, 3]
M156: [3, 1, 4, 3, 3, 3, 2, 2, 1, 4]
M157: [2, 2, 3, 2, 2, 4, 3, 3, 1, 4]
M158: [3, 2, 3, 2, 3, 4, 2, 2, 1, 4]
M159: [3, 2, 4, 2, 2, 3, 2, 2, 2, 4]
M160: [3, 2, 4, 3, 2, 3, 2, 2, 1, 4]
M161: [3, 1, 3, 3, 3, 4, 2, 2, 2, 3]
M162: [3, 1, 4, 4, 2, 3, 2, 2, 3, 4]
M163: [2, 2, 3, 4, 2, 3, 2, 2, 3, 3]
M164: [3, 2, 4, 4, 2, 3, 2, 2, 2, 4]
M165: [3, 2, 4, 4, 3, 3, 2, 2, 2, 5]
M166: [3, 1, 4, 3, 2, 3, 3, 3, 4, 2]
M167: [3, 2, 3, 3, 2, 3, 3, 3, 4, 2]
M168: [4, 2, 4, 3, 2, 3, 2, 2, 3, 5]
M169: [4, 2, 4, 4, 2, 3, 2, 2, 4, 5]
M170: [3, 1, 3, 3, 3, 3, 2, 2, 5, 1]
M171: [3, 3, 3, 4, 2, 3, 2, 2, 3, 5]
M172: [3, 3, 3, 3, 3, 3, 2, 2, 3, 3]
M173: [4, 3, 4, 2, 2, 3, 2, 2, 4, 4]
M174: [4, 3, 4, 3, 2, 3, 2, 2, 4, 5]
M175: [3, 2, 3, 3, 2, 3, 2, 2, 5, 1]
M176: [4, 3, 4, 4, 2, 3, 2, 2, 5, 5]
M177: [2, 1, 2, 2, 5, 4, 1, 2, 2, 3]
M178: [2, 1, 2, 2, 5, 4, 2, 2, 3, 5]
M179: [2, 1, 2, 3, 5, 4, 2, 1, 2, 4]
M180: [2, 1, 2, 2, 4, 3, 1, 2, 4, 1]
M181: [2, 1, 2, 2, 5, 4, 1, 3, 4, 4]
M182: [2, 1, 2, 2, 5, 4, 2, 3, 4, 5]
M183: [2, 1, 2, 3, 5, 3, 1, 2, 3, 2]
M184: [2, 1, 3, 3, 4, 3, 1, 2, 3, 2]
M185: [3, 1, 3, 2, 4, 3, 1, 2, 3, 2]
M186: [2, 1, 2, 2, 5, 4, 3, 3, 5, 5]
M187: [2, 1, 2, 3, 5, 3, 2, 2, 4, 2]
M188: [2, 1, 3, 3, 4, 3, 2, 2, 4, 2]
M189: [3, 1, 3, 2, 4, 3, 2, 2, 4, 2]
M190: [2, 1, 2, 4, 5, 3, 2, 1, 3, 5]
M191: [2, 1, 3, 4, 4, 3, 2, 1, 4, 2]
M192: [3, 1, 3, 3, 4, 3, 2, 1, 4, 2]
M193: [2, 1, 4, 4, 4, 3, 1, 1, 3, 5]
M194: [3, 1, 4, 3, 3, 3, 2, 1, 2, 4]
M195: [3, 1, 4, 3, 4, 3, 1, 1, 4, 2]
M196: [4, 1, 4, 2, 3, 3, 2, 1, 3, 5]
M197: [3, 1, 2, 2, 4, 4, 1, 4, 1, 4]
M198: [3, 1, 3, 3, 3, 3, 1, 3, 1, 3]
M199: [2, 2, 2, 3, 3, 3, 1, 3, 1, 2]
M200: [3, 2, 3, 3, 4, 3, 1, 3, 1, 5]
